entry_id,payment_id,user_id,entry_type,currency,amount,posted_at,failure_mode
198b2948-6324-489c-bc3c-4b87e9e848b6,535a3e78-507a-4514-a11a-89b5df8968b0,b4e9f61f-be83-407a-b593-67ac85f2d514,debit,USD,111613.14,2026-05-28 14:24:21.213622+00:00,
bf80fc32-eb8b-46bb-b181-8501357cc733,c18bf7a7-64f3-43ed-86fc-c15ef4f344c3,85282c9d-557a-4c64-837c-64ca97fda5a7,credit,NGN,14908.31,2026-05-15 23:05:46.214241+00:00,
64d38cc1-725e-4686-916c-e25788117d28,569fa666-53ca-4ae8-8075-7c63b727653c,be7d24b6-bf48-4522-afb8-ac8e30941c85,credit,USD,224610.03,2026-03-20 23:07:16.214336+00:00,
9321eb19-8df8-4fa1-8bdf-8c261851abd5,3ddc86ee-6995-4a00-bfb5-06ca1d222ea8,d76a3f48-c735-457e-b244-758373766db2,credit,GBP,77748.20,2026-05-28 15:03:49.214578+00:00,
a27a3fc0-3e9e-41f7-b232-ec252f87f019,68d75bfb-0b72-4c6f-be42-afadf6231b9a,a814ed25-9f6a-4f54-a599-a63cf4045d21,debit,GBP,403566.07,2026-04-23 22:41:53.214654+00:00,
d5277567-71ab-46cd-b2f1-161f4e175b08,719b383e-6fbf-4c52-8b73-e4b85859fb63,77e963bc-d2ac-4497-9073-a2f3937692d4,debit,GBP,414704.04,2026-03-13 13:59:11.214954+00:00,
9c60276a-0297-41bc-99ca-f85d915d2b14,ae10020d-74a0-4a9b-afd4-6c8987592ef1,20d2b9aa-a69c-4f48-8f03-81385207066c,debit,GHS,113956.86,2026-05-30 19:18:07.215016+00:00,
3ffddc08-5d3c-4261-8396-a0fa7ba37f6d,14176056-878c-4f3a-ad3a-cb060038e9b4,6249badf-269a-42b0-8dbe-e859d8996acd,credit,EUR,317845.87,2026-05-22 18:13:09.215042+00:00,
8de1f330-34d1-4c26-88e6-878e19938920,04a7b855-0b52-483e-8888-89c8a038aebb,b997fc06-9fe3-4bd4-9237-caae1cc5fca9,debit,KES,317492.79,2026-03-28 18:14:40.215066+00:00,
cd6a0d28-161e-4f19-87e6-32cecb86d636,1280de7e-0255-47aa-b4d8-d8fbd5b50bdd,c1374b0a-f92f-4516-9912-154b86b98997,credit,GHS,162148.12,2026-05-16 07:31:03.215093+00:00,
3169fa11-6459-499f-a143-c409c2314078,1f01dcca-c876-4bfc-bea5-1b12a7e97bae,adf7ad33-15c0-437a-801e-086a973fa36d,debit,USD,456568.93,2026-03-14 11:09:09.215117+00:00,
88b6ba7a-ec21-42d9-bc9e-05f8794585f3,d456823c-7df1-4903-9c1b-96b23bb6d4db,bfe9119d-8963-494c-bdca-4a7139677b21,credit,USD,132447.43,2026-03-27 05:17:08.215140+00:00,
fd5e982e-11cd-43be-9881-5a7338ce3eec,98d850b1-b617-48d1-8c1f-5e76ad86db32,1c429860-3525-4da8-9189-e9666eb003b5,credit,EUR,181004.60,2026-04-19 01:57:10.215163+00:00,
b90ce962-489e-491c-bf79-c9d265043d37,c3e16377-a52d-4f69-8bcf-f533097540d4,83cc2ec0-65f5-458b-b064-95420b0f565f,debit,GHS,211085.76,2026-05-01 04:39:41.215191+00:00,
105eae01-9833-45c9-af51-1ed5e00cff9c,cbdd1f4e-b2e1-4a4b-b75e-18f422105719,0bba4ba9-0f56-4321-a92d-b6be3512808c,debit,NGN,340144.90,2026-04-02 08:44:18.215222+00:00,
e61119b9-9423-470b-94eb-25d997d2e13b,642ea3b7-5dcf-42c2-9076-8e8c8842cd1d,7bf08e44-29ce-449d-bccc-c3c3492eae1b,debit,GBP,217388.28,2026-06-07 05:40:07.215244+00:00,
6865de0b-7146-47a5-8657-cde795d01468,983f2be3-d2f8-4a5c-96c5-59bfb04dff83,5229cb34-7a19-42bd-8482-792da6246425,debit,USD,253845.76,2026-03-15 00:46:52.215268+00:00,
